tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
300000,2026-01-16T15:26:37.294065,21649,3629,16319,5329,8486,0.37635225496036456,0.00282246,0.2658482945613577,36.29,126.9,163.19,48.57,167.92,216.49,12.27,41.02,53.29,0.37635225496036456,2822.46,2.82246e-05,84.86,0.0,0.0,0.2658482945613577,3629,12690,16319,5329,282246,1.65,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9825,0.9298435897435897,0,3,85,0,3,0,5,0,4,0,0,79.65,130,75
310000,2026-01-16T15:26:39.680022,22412,3745,16893,5518,8816,0.3757366159472578,0.00291654,0.2658073759134887,37.45,131.48,168.93,50.23,173.89,224.12,12.77,42.41,55.18,0.3757366159472578,2916.54,2.91654e-05,88.16,0.0,0.0,0.2658073759134887,3745,13148,16893,5518,291654,1.68,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.98,0.9304530864197531,0,4,87,0,1,0,3,0,5,0,0,75.14,161,77
320000,2026-01-16T15:26:42.011644,23179,3867,17468,5710,9139,0.37449638990061795,0.00301055,0.26533879661354054,38.67,136.01,174.68,51.92,179.87,231.79,13.25,43.85,57.1,0.37449638990061795,3010.55,3.01055e-05,91.39,0.0,0.0,0.26533879661354054,3867,13601,17468,5710,301055,1.62,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9825,0.9323619047619047,4,4,86,0,1,0,2,0,3,0,0,28.74,120,42
330000,2026-01-16T15:26:44.743120,23925,3994,18025,5899,9440,0.37524600903836886,0.00310357,0.26560720613314304,39.94,140.31,180.25,53.57,185.68,239.25,13.62,45.37,58.99,0.37524600903836886,3103.57,3.10357e-05,94.4,0.0,0.0,0.26560720613314304,3994,14031,18025,5899,310357,1.83,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9814,0.9335674418604651,0,9,86,0,1,0,1,0,3,0,0,50.5,132,53
340000,2026-01-16T15:26:47.523867,24678,4117,18584,6093,9745,0.37552330574724246,0.00319795,0.2658484535357194,41.17,144.67,185.84,55.29,191.49,246.78,14.12,46.81,60.93,0.37552330574724246,3197.95,3.19795e-05,97.45,0.0,0.0,0.2658484535357194,4117,14467,18584,6093,319795,1.75,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9813,0.9336744680851063,3,11,80,0,1,0,1,0,4,0,0,54.26,120,64
350000,2026-01-16T15:26:50.152047,25444,4242,19154,6289,10057,0.3757766056669742,0.00329201,0.26608822417637096,42.42,149.12,191.54,56.98,197.46,254.44,14.56,48.33,62.89,0.3757766056669742,3292.01,3.2920100000000004e-05,100.57,0.0,0.0,0.26608822417637096,4242,14912,19154,6289,329201,1.59,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9843,0.9335949494949495,0,9,80,0,3,0,4,0,4,0,0,49.66,177,82
360000,2026-01-16T15:26:52.538618,26178,4369,19710,6467,10341,0.374624437103104,0.00338602,0.26559694656369304,43.69,153.41,197.1,58.6,203.18,261.78,14.91,49.76,64.67,0.374624437103104,3386.02,3.38602e-05,103.41,0.0,0.0,0.26559694656369304,4369,15341,19710,6467,338602,1.89,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9834999999999999,0.9372949494949495,1,2,88,0,3,0,2,0,4,0,0,80.97,179,76
370000,2026-01-16T15:26:55.010626,26907,4484,20259,6647,10644,0.3743950097141429,0.00347973,0.26550809493682465,44.84,157.75,202.59,60.23,208.84,269.07,15.38,51.09,66.47,0.3743950097141429,3479.73,3.47973e-05,106.44,0.0,0.0,0.26550809493682465,4484,15775,20259,6647,347973,1.84,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9839,0.9370949494949495,0,4,91,0,0,0,1,0,4,0,0,51.77,141,58
380000,2026-01-16T15:26:57.559760,27655,4608,20818,6836,10945,0.37439005196412933,0.00357371,0.2655095516178847,46.08,162.1,208.18,61.88,214.67,276.55,15.79,52.57,68.36,0.37439005196412933,3573.71,3.57371e-05,109.45,0.0,0.0,0.2655095516178847,4608,16210,20818,6836,357371,1.67,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9823000000000001,0.9358,0,8,85,0,1,0,2,0,4,0,0,44.71,125,61
390000,2026-01-16T15:26:59.943190,28360,4735,21348,7011,11205,0.3741174022457927,0.00366852,0.26533655183587823,47.35,166.13,213.48,63.47,220.13,283.6,16.11,54.0,70.11,0.3741174022457927,3668.52,3.66852e-05,112.05,0.0,0.0,0.26533655183587823,4735,16613,21348,7011,366852,1.72,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9803999999999999,0.9372,0,7,84,0,1,0,4,0,4,0,0,47.15,151,64
400000,2026-01-16T15:27:02.428481,29079,4857,21881,7197,11494,0.374314085969225,0.0037626,0.26549813558559615,48.57,170.24,218.81,65.14,225.65,290.79,16.56,55.41,71.97,0.374314085969225,3762.6,3.7626e-05,114.94,0.0,0.0,0.26549813558559615,4857,17024,21881,7197,376260,1.65,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9834,0.9369,0,7,88,0,0,0,2,0,3,0,0,45.2,118,65
410000,2026-01-16T15:27:04.901392,29780,4973,22400,7379,11784,0.37505736645045507,0.00385728,0.2658894350559431,49.73,174.27,224.0,66.7,231.1,297.8,16.96,56.83,73.79,0.37505736645045507,3857.28,3.8572800000000004e-05,117.84,0.0,0.0,0.2658894350559431,4973,17427,22400,7379,385728,1.86,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9853999999999999,0.9375,0,8,88,0,0,0,1,0,3,0,0,27.6,126,46
420000,2026-01-16T15:27:07.207640,30515,5095,22944,7570,12087,0.3755943585084154,0.00395111,0.26609920000699927,50.95,178.49,229.44,68.27,236.88,305.15,17.31,58.39,75.7,0.3755943585084154,3951.11,3.95111e-05,120.87,0.0,0.0,0.26609920000699927,5095,17849,22944,7570,395111,1.68,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9873000000000001,0.9381,0,16,80,0,0,0,2,0,2,0,0,24.8,104,33
430000,2026-01-16T15:27:09.620172,31241,5214,23485,7755,12378,0.37594024754020305,0.00404607,0.26618949653506063,52.14,182.71,234.85,69.91,242.5,312.41,17.76,59.79,77.55,0.37594024754020305,4046.07,4.04607e-05,123.78,0.0,0.0,0.26618949653506063,5214,18271,23485,7755,404607,1.59,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9797,0.9358,2,10,78,0,2,0,4,0,4,0,0,98.23,164,80
440000,2026-01-16T15:27:12.537412,31960,5341,24019,7940,12661,0.3756837716275571,0.00414053,0.2661768083647737,53.41,186.78,240.19,71.52,248.08,319.6,18.11,61.29,79.4,0.3756837716275571,4140.53,4.14053e-05,126.61,0.0,0.0,0.2661768083647737,5341,18678,24019,7940,414053,1.74,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9867999999999999,0.937,0,9,85,0,1,0,1,0,4,0,0,58.85,171,70
450000,2026-01-16T15:27:16.615837,32672,5466,24558,8114,12928,0.3753413179392839,0.00423451,0.2661377568150271,54.66,190.92,245.58,73.1,253.62,326.72,18.44,62.7,81.14,0.3753413179392839,4234.51,4.23451e-05,129.28,0.0,0.0,0.2661377568150271,5466,19092,24558,8114,423451,1.65,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9821,0.9389,1,4,85,1,1,0,3,0,5,0,0,85.23,180,74
460000,2026-01-16T15:27:19.652871,33420,5582,25105,8314,13261,0.3764716564975786,0.00432803,0.2666845847739857,55.82,195.23,251.05,74.73,259.47,334.2,18.9,64.24,83.14,0.3764716564975786,4328.03,4.32803e-05,132.61,0.0,0.0,0.2666845847739857,5582,19523,25105,8314,432803,1.83,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9842,0.9362999999999999,0,4,91,0,0,0,1,0,4,0,0,42.35,118,50
