tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
300000,2026-01-19T17:54:07.273432,26206,3471,18162,8043,13476,0.5588949430575123,0.0281402,0.34314007916528566,6.942,29.382,36.324,10.404,42.008,52.412,3.46,12.626,16.086,0.5588949430575123,562.804,5.6280400000000004e-05,26.952,0.0,0.0,0.34314007916528566,3471,14691,18162,8043,281402,1.862,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9935,0.976658005198316,0,35,452,0,1,0,6,0,6,0,0,90.09,139,426
310000,2026-01-19T17:54:20.409043,27072,3589,18762,8309,13914,0.5577507524118153,0.0290815,0.34281459510699386,7.178,30.346,37.524,10.76,43.384,54.144,3.58,13.038,16.618,0.5577507524118153,581.63,5.8163e-05,27.828,0.0,0.0,0.34281459510699386,3589,15173,18762,8309,290815,1.726,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99114,0.9766960324949132,0,32,456,0,4,0,4,0,4,0,0,74.804,146,487
320000,2026-01-19T17:54:33.977177,27917,3703,19345,8571,14348,0.5583568746566465,0.0300238,0.3431516448566553,7.406,31.284,38.69,11.084,44.75,55.834,3.676,13.466,17.142,0.5583568746566465,600.476,6.00476e-05,28.696,0.0,0.0,0.3431516448566553,3703,15642,19345,8571,300238,1.838,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9920800000000001,0.977086674002902,0,27,459,0,3,0,7,0,4,0,0,104.05,159,405
330000,2026-01-19T17:54:48.196739,28855,3817,19995,8859,14846,0.5584331748426581,0.0309583,0.3433320673050625,7.634,32.356,39.99,11.448,46.262,57.71,3.812,13.906,17.718,0.5584331748426581,619.166,6.19166e-05,29.692,0.0,0.0,0.3433320673050625,3817,16178,19995,8859,309583,1.71,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.98964,0.9771550617180355,0,17,466,0,4,0,9,0,4,0,0,121.3,152,489
340000,2026-01-19T17:55:02.499604,29759,3931,20617,9141,15328,0.559916212570151,0.0318977,0.343930335707883,7.862,33.372,41.234,11.802,47.716,59.518,3.94,14.342,18.282,0.559916212570151,637.954,6.37954e-05,30.656,0.0,0.0,0.343930335707883,3931,16686,20617,9141,318977,1.812,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99122,0.9770657103689077,0,21,463,1,4,0,5,0,6,0,0,108.52,180,419
350000,2026-01-19T17:55:16.867323,30652,4053,21227,9425,15793,0.5620699149299829,0.0328375,0.3445940201362049,8.106,34.348,42.454,12.138,49.166,61.304,4.032,14.818,18.85,0.5620699149299829,656.75,6.5675e-05,31.586,0.0,0.0,0.3445940201362049,4053,17174,21227,9425,328375,1.9,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99084,0.9774314013599292,0,26,457,0,3,1,8,0,5,0,0,112.352,174,424
360000,2026-01-19T17:55:30.260393,31527,4166,21828,9698,16252,0.5622913314069994,0.0337693,0.34480633967450797,8.332,35.324,43.656,12.502,50.552,63.054,4.168,15.228,19.396,0.5622913314069994,675.386,6.75386e-05,32.504,0.0,0.0,0.34480633967450797,4166,17662,21828,9698,337693,1.778,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9927,0.9771558836548643,0,34,455,0,0,0,6,0,5,0,0,50.294,93,428
370000,2026-01-19T17:55:43.128058,32445,4278,22458,9986,16747,0.5627914463098805,0.0347146,0.3450666148521631,8.556,36.36,44.916,12.872,52.018,64.89,4.316,15.656,19.972,0.5627914463098805,694.292,6.94292e-05,33.494,0.0,0.0,0.3450666148521631,4278,18180,22458,9986,347146,1.876,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99142,0.9770366005007425,4,15,473,0,0,0,4,0,4,0,0,65.478,122,409
380000,2026-01-19T17:55:57.764323,33360,4390,23085,10274,17238,0.5639722523215729,0.0356503,0.3455941031734626,8.78,37.39,46.17,13.23,53.49,66.72,4.45,16.098,20.548,0.5639722523215729,713.006,7.13006e-05,34.476,0.0,0.0,0.3455941031734626,4390,18695,23085,10274,356503,1.786,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9920399999999999,0.9769586130048646,0,38,451,0,1,0,4,0,6,0,0,55.956,177,442
390000,2026-01-19T17:56:13.430875,34246,4507,23695,10550,17706,0.5643222288108679,0.0365834,0.34571410152884624,9.014,38.376,47.39,13.566,54.926,68.492,4.55,16.55,21.1,0.5643222288108679,731.668,7.31668e-05,35.412,0.0,0.0,0.34571410152884624,4507,19188,23695,10550,365834,1.798,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.98922,0.9771023747603506,0,16,475,0,1,0,5,0,3,0,0,60.58,115,316
