tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
310000,2026-01-16T11:41:18.416742,26897,3185,19193,7703,14802,0.4758288865725849,0.00283284,0.3091292595186584,31.85,160.08,191.93,47.0,221.97,268.97,15.14,61.89,77.03,0.4758288865725849,2832.84,2.83284e-05,148.02,0.0,0.0,0.3091292595186584,3185,16008,19193,7703,283284,0.03,0.03,0.03,0,11,80,0,1,0,5,0,3,0,0,65.94,115,87
320000,2026-01-16T11:41:18.979157,27774,3294,19822,7951,15257,0.4747182678085343,0.00292542,0.30884872259742246,32.94,165.28,198.22,48.66,229.08,277.74,15.71,63.8,79.51,0.4747182678085343,2925.42,2.9254200000000002e-05,152.57,0.0,0.0,0.30884872259742246,3294,16528,19822,7951,292542,0.03,0.03,0.03,0,11,77,0,3,0,5,0,4,0,0,55.16,105,77
330000,2026-01-16T11:41:19.524232,28631,3404,20435,8195,15709,0.47543292713483465,0.00301836,0.30911411972976466,34.04,170.31,204.35,50.16,236.15,286.31,16.11,65.84,81.95,0.47543292713483465,3018.36,3.01836e-05,157.09,0.0,0.0,0.30911411972976466,3404,17031,20435,8195,301836,0.03,0.03,0.03,0,10,80,0,2,0,5,0,3,0,0,62.15,110,73
340000,2026-01-16T11:41:20.065067,29444,3505,21020,8424,16137,0.4754506051669722,0.00311261,0.3090936938295372,35.05,175.15,210.2,51.62,242.82,294.44,16.57,67.67,84.24,0.4754506051669722,3112.61,3.11261e-05,161.37,0.0,0.0,0.3090936938295372,3505,17515,21020,8424,311261,0.03,0.03,0.03,0,11,78,1,3,0,3,0,4,0,0,105.5,180,87
350000,2026-01-16T11:41:20.606671,30353,3619,21680,8672,16591,0.4747832646418983,0.00320542,0.30887483962242085,36.19,180.61,216.8,53.36,250.17,303.53,17.16,69.56,86.72,0.4747832646418983,3205.42,3.20542e-05,165.91,0.0,0.0,0.30887483962242085,3619,18061,21680,8672,320542,0.03,0.03,0.03,0,4,81,0,2,0,8,0,5,0,0,61.9,117,78
360000,2026-01-16T11:41:21.158898,31212,3729,22307,8904,17022,0.4734844029685399,0.00329871,0.30841150283358876,37.29,185.78,223.07,55.06,257.06,312.12,17.76,71.28,89.04,0.4734844029685399,3298.71,3.29871e-05,170.22,0.0,0.0,0.30841150283358876,3729,18578,22307,8904,329871,0.03,0.03,0.03,0,20,70,0,0,0,6,0,4,0,0,47.1,126,63
370000,2026-01-16T11:41:21.798187,32085,3840,22937,9147,17464,0.4726548726304113,0.00339217,0.30806083718554506,38.4,190.97,229.37,56.74,264.11,320.85,18.34,73.13,91.47,0.4726548726304113,3392.17,3.39217e-05,174.64,0.0,0.0,0.30806083718554506,3840,19097,22937,9147,339217,0.03,0.03,0.03,0,16,71,0,2,0,5,0,6,0,0,85.32,177,77
380000,2026-01-16T11:41:22.438122,32941,3946,23554,9386,17916,0.4717197750697948,0.00348502,0.3077234935359925,39.46,196.08,235.54,58.33,271.08,329.41,18.86,75.0,93.86,0.4717197750697948,3485.02,3.48502e-05,179.16,0.0,0.0,0.3077234935359925,3946,19608,23554,9386,348502,0.03,0.03,0.03,0,11,81,0,0,0,4,0,4,0,0,37.24,95,50
390000,2026-01-16T11:41:23.030258,33790,4053,24167,9622,18351,0.4696387459187673,0.00357633,0.30711100214658116,40.53,201.14,241.67,59.96,277.94,337.9,19.42,76.8,96.22,0.4696387459187673,3576.33,3.57633e-05,183.51,0.0,0.0,0.30711100214658116,4053,20114,24167,9622,357633,0.03,0.03,0.03,0,8,84,0,1,0,4,0,3,0,0,48.46,114,81
400000,2026-01-16T11:41:23.613743,34666,4171,24798,9867,18790,0.46896206663579576,0.00366991,0.30689525753021346,41.71,206.27,247.98,61.58,285.08,346.66,19.86,78.81,98.67,0.46896206663579576,3669.91,3.66991e-05,187.9,0.0,0.0,0.30689525753021346,4171,20627,24798,9867,366991,0.03,0.03,0.03,0,8,83,0,0,0,4,0,5,0,0,61.86,150,71
